Feature,Importance
Middle_Mean_Variance_min,0.1316345493902117
Middle_Mean_Variance_mean,0.11
Mean_Variance_std,0.07601621094406888
Mean_Variance_max,0.07
Final_Mean_Variance_std,0.07
Final_Mean_Variance_min,0.07
Final_Mean_Variance_median,0.06430538172715894
Final_Mean_Variance_mean,0.06046439235118481
Middle_Mean_Variance_max,0.06
Middle_Mean_Variance_std,0.06
Final_Mean_Variance_max,0.06
Mean_Variance_mean,0.06
Mean_Variance_median,0.05
Middle_Mean_Variance_median,0.05
Final_Mean_Variance_Change_Rate_std,0.006318527486355197
Number_of_outliers_std,0.001260938101020462
Number_of_outliers_max,0.0
Number_of_outliers_min,0.0
Num_Layers,0.0
Mean_Variance_min,0.0
Number_of_outliers_mean,0.0
Number_of_outliers_median,0.0
Middle_Mean_Variance_Change_Rate_mean,0.0
Middle_Mean_Variance_Change_Rate_max,0.0
Middle_Mean_Variance_Change_Rate_median,0.0
Middle_Mean_Variance_Change_Rate_std,0.0
Middle_Mean_Variance_Change_Rate_min,0.0
Final_Mean_Variance_Change_Rate_mean,0.0
Final_Mean_Variance_Change_Rate_min,0.0
Final_Mean_Variance_Change_Rate_max,0.0
Final_Mean_Variance_Change_Rate_median,0.0
